LON,LAT,EDO,CLAVE,ESTACION,jul-22,jun-22,may-22
-97.418056,19.45,PUE,ACHPB,"Alchichilca, Pue.",6.64,49.8,13.65
-97.934167,19.0625,PUE,ACJPB,"Acajete, Pue.",43.9,73,51.1
-98.055,18.277222,PUE,ADOPB,"Acatlán de Osorio, Pue.",23.82,28.8,13.3
-98.135833,18.9425,PUE,AFRPB,"Áfricam, Pue.",48.3,26.7,11.2
-97.920833,18.854167,PUE,AHAPB,"Ahuatepec, Pue.",5,32,18
-98.148056,20.033056,PUE,AHUPB,"Ahuazontepec, Pue.",41.7,112.5,
-97.845,20.406944,PUE,APAPB,"Apapantilla, Pue.",181.4,347.5,47.9
-98.420833,18.921111,PUE,ATXPB,"Atlixco, Pue.",84.5,105.1,29.7
-97.881111,20.385833,PUE,AVCPB,"Ávila Camacho, Pue.",433.2,373.7,36
-97.503333,19.961389,PUE,BAIPB,"Buenos Aires CFE, Pue.",247.73,527,86.32
-98.108611,18.9125,PUE,BDDPB,"Manuel Ávila Camacho, Pue.",50.86,21.9,10.34
-97.441667,18.987222,PUE,CDSPB,"Ciudad Serdán, Pue.",23.01,30,9
-97.958333,18.968889,PUE,CEMPB,"Cemex, Pue.",46,15.8,73
-98.579167,18.516111,PUE,CHIPB,"Chietla, Pue.",83.13,58.1,8.94
-98.318056,19.068611,PUE,CHLPB,"Cholula, Pue.",94.5,74.8,46.02
-98.567778,18.109722,PUE,CHSPB,"Chila de la Sal, Pue.",80.2,54.7,8.4
-98.198611,19.022778,PUE,CNAPB,"Conagua, Pue.",80.5,41.8,48.5
-98.049722,19.743333,PUE,CNGPB,"Chignahuapan, Pue.",105.41,110.6,18.51
-98.164722,18.612778,PUE,COAPB,"Coatzingo, Pue.",30.22,31.4,8.2
-98.059444,19.092778,PUE,CPLPB,"Capulac, Pue.",112,103,45.4
-97.516667,20.033333,PUE,CTZPB,"Cuetzalan del Progreso, Pue.",549.04,504.5,149
-98.275556,18.966111,PUE,ECHPB,"Echeverría, Pue.",113.5,64.2,25.02
-98.404722,18.187222,PUE,ELFRAILECFE,"El Fraile, Pue. CFE*",52.2,,
-98.456111,19.101111,PUE,HJTPB,"Huejotzingo, Pue.",175.66,105.3,39.6
-98.540278,18.772222,PUE,HQCPB,"Huaquechula, Pue.",96,72,21.5
-98.050833,20.176389,PUE,HUAPB,"Huauchinango, Pue.",270.8,387.5,27.51
-98.72,18.039722,PUE,IXCAMILPACFE,"Ixcamilpa, Pue. CFE*",131.88,,
-97.815833,19.621667,PUE,IXTPB,"Ixtacamaxtitlán, Pue.",34.9,62.1,46
-98.466389,18.610833,PUE,IZMPB,"Izúcar de Matamoros, Pue.",83.03,68,18.02
-98.231111,19.010556,PUE,MAYPB,"Mayorazgo 21 Poniente, Pue.",105.35,55.2,36.82
-97.850278,20.733056,PUE,MTLPB,"Metlaltoyuca, Pue.",197.2,359.1,11.4
-96.781389,18.360278,PUE,NARPB,"Naranjastitla, Pue.",436.85,382.5,45.82
-98.002222,20.001667,PUE,NECAXA,"Necaxa, Pue. FENIX*",330.1,386.9,
-98.000556,20.216667,PUE,NNEPB,"Necaxa, Pue.",435.7,507.2,69.3
-97.533333,19.7,PUE,OYAPB,"Oyameles, Pue.",41.06,76,0.04
,,,,"Pahuatlán de Valle, Pue. SGT*",,321.3,13.9
-97.251389,18.918056,PUE,PCRPB,"Paso Carretas, Pue.",141.5,170.5,16
-98.264722,18.2,PUE,PIXPB,"Piaxtla, Pue.",44.03,56,6.53
-97.702778,20.445833,PUE,PTEPALOMAS,"Puente Palomas, Pue. SGT*",47.5,183.1,56.4
-97.883333,20.233333,PUE,PTLPB,"Patla, Pue.",590.2,437.4,41.6
-98.166667,19.05,PUE,PUEBLAob,"Observatorio de Puebla, Pue. SMN*",46.79,35,57.6
-98.166667,19.05,PUE,PUOPB,"Observatorio de Puebla, Pue.",67.8,46.3,35.5
-97.616667,19.25,PUE,QUIPB,"Quimixtlán, Pue.",259.8,384.2,23.92
-97.401667,20.116111,PUE,RNAPB,"Rancho Nuevo, Pue.",376.51,260.5,136.5
-98.22,19.113056,PUE,SCRPB,"San Cristóbal Caleras, Pue.",118.97,36.6,27.15
-97.208333,20.131389,PUE,SJAPB,"San José Acateno, Pue.",94,189.4,102.03
-97.91,18.735,PUE,SMCPB,"San Miguel Canoa, Pue.",77.02,45.1,54.02
-98.4175,19.284167,PUE,SMTPB,"San Martín Texmelucan, Pue.",153.03,77.7,32.82
-97.446667,19.960833,PUE,SOLPB,"La Soledad, Pue.",372.42,523.3,100.4
-98.582222,19.330278,PUE,SRTPB,"Santa Rita Tlahuapan, Pue.",98.5,129.5,13.5
-97.486389,19.952778,PUE,STLPB,"Sontalalco CFE, Pue.",263.93,532.3,51.21
-97.7925,20.004444,PUE,TDRPB,"Tepango de Rodríguez, Pue.",202.5,500.7,26.5
-97.7525,18.878889,PUE,TECPB,"Tecamachalco, Pue.",4.1,6.1,7.4
-97.395556,18.479167,PUE,TEHPB,"Tehuacán, Pue.",20.5,102,10
-98.777222,18.451944,PUE,TELPB,"Teotlalco, Pue.",149.69,125.6,3.91
-97.805833,19.829444,PUE,TEOPB,"Tetela de Ocampo, Pue.",59,176.2,20.51
-97.9475,20.21,PUE,TEPPB,"Tepexic, Pue.",398.8,423.6,20.4
-97.390556,19.887778,PUE,TEZIUTLAN,"Teziutlán, Pue. SMN*",103.4,1.2,0
-97.359722,19.815278,PUE,TEZPB,"Teziutlán, Pue.",93.02,338.5,15.51
-96.849722,18.405,PUE,TLPPB,"Tlacotepec de Díaz, Pue.",676.02,890,34.83
-98.040556,20.374167,PUE,TLXPB,"Tlaxco, Pue.",67.7,88.5,5.01
-97.491944,19.489167,PUE,TPYPB,"Tepeyahualco, Pue.",31.05,26,29
-96.861389,18.483611,PUE,TYAPB,"Tepeyac, Pue.",545.15,418.5,61.77
-98.050833,20.176389,PUE,UDSPB,"Universidad de la Sierra, Pue.",286.62,379.7,28.5
-97.720833,18.865556,PUE,UTTPB,"Universidad Tecnológica Tecamachalco, Pue. SMN*",7.34,9.7,10.6
-97.675833,20.510278,PUE,VENPB,"Venustiano Carranza, Pue.",37.8,198.6,89.5
-97.956944,20.277222,PUE,XDJPB,"Xicotepec de Juárez, Pue.",598.71,524.7,68.2
-97.585,19.859722,PUE,ZCPPB,"Zacapoaxtla, Pue.",78,,9.01
-97.011389,18.332222,PUE,ZOQPB,"Zoquitlán, Pue.",353.51,558,104
-97.832778,20.178611,PUE,ZRGPB,"Zaragoza, Pue.",72.5,162,0
